Cement,Blast Furnace Slag ,Fly Ash ,Water ,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Concrete compressive strength
332.5,46.5,96.7,189.3,4.5,967.1,870.3,3,11.58
332.5,108.9,96.7,189.3,4.5,967.1,870.3,14,24.45
198.6,101.5,96.7,189.3,4.5,967.1,870.3,28,24.89
266,99.9,96.7,189.3,4.5,967.1,870.3,56,29.45
380,55.9,163.8,121.8,5.7,1058.7,780.1,3,7.75
380,78.2,163.8,121.8,5.7,1058.7,780.1,14,17.82
266,62,163.8,121.8,5.7,1058.7,780.1,28,24.24
475,92.3,163.8,121.8,5.7,1058.7,780.1,56,32.85
198.6,117.6,163.8,121.8,5.7,1058.7,780.1,100,39.23
198.6,58.9,24.5,181.7,6.9,1065.8,785.4,3,18
427.5,120.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
653.5,164.6,24.5,181.7,6.9,1065.8,785.4,28,45.71
572.2,104.2,24.5,181.7,6.9,1065.8,785.4,56,50.77
656.2,164.7,24.5,181.7,6.9,1065.8,785.4,100,53.9
2.5,85.5,24.5,181.7,6.7,1066,785.5,3,13.18
121.1,42.3,24.5,181.7,6.7,1066,785.5,14,17.84
386.7,145.7,24.5,181.7,6.7,1066,785.5,28,40.23
412.8,86.5,24.5,181.7,6.7,1066,785.5,56,47.13
561.3,94.1,24.5,181.7,6.7,1066,785.5,100,49.97
266.4,98.6,24.5,160.7,11.2,1061.7,782.5,3,30.45
544,112.3,24.5,160.7,11.2,1061.7,782.5,14,47.71
755.4,194.3,24.5,160.7,11.2,1061.7,782.5,28,63.14
778.4,176.1,24.5,160.7,11.2,1061.7,782.5,56,66.82
725.3,199.7,24.5,160.7,11.2,1061.7,782.5,100,66.95
293.4,136.9,123.8,140.8,11.9,1075.7,792.7,3,27.42
506.2,141.7,123.8,140.8,11.9,1075.7,792.7,14,35.96
664.5,158.7,123.8,140.8,11.9,1075.7,792.7,28,55.51
643.7,119.4,123.8,140.8,11.9,1075.7,792.7,56,61.99
664.8,131.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
260.5,65,121.9,155.6,9.6,1014.3,780.6,3,18.02
282.2,98.9,121.9,155.6,9.6,1014.3,780.6,14,38.6
687.7,157.7,121.9,155.6,9.6,1014.3,780.6,28,52.2
657,139.7,121.9,155.6,9.6,1014.3,780.6,56,53.96
597.7,148.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
1092.5,140.4,0,145,5.9,1130,745,28,81.75
443.5,132.6,0,200,3,1124.4,613.2,28,39.38
707.5,133.9,158,167,20.8,967,633,28,55.65
442.2,135.1,163,167,17.9,996,652,28,47.28
456.5,133,158,189,15.3,967,633,28,44.33
702,153.9,0,190,0,1145,660,28,49.25
317.2,100.1,119,184,5.7,833,880,28,29.16
416.4,137.4,122,182,6.4,824,879,28,39.4
291.8,148.7,0,189,5.9,981,760,28,39.3
847.5,123.9,95,159,9.5,860,800,28,67.87
788,151.5,0,162,9.5,1044,662,28,58.52
569.6,173.4,0,163,7.6,1031,685,28,53.58
616.4,153.8,0,160,9,1061,657,28,59
893.6,136.7,120,162,10.4,830,765,28,76.24
723.8,139.1,0,151,9,1033,655,28,69.84
32.8,93.6,143.6,163.8,0,1005.6,900.9,3,14.4
142.7,141,132.1,175.1,8.1,1005.8,746.6,3,19.42
270.2,127.3,118.6,179.9,3.6,1007.3,746.8,3,20.73
40.3,51.5,128.6,175.5,7.8,1006.3,746.6,3,14.94
72.5,102.3,172.4,156.8,4.1,1006.3,856.4,3,21.29
316.1,100.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
130.4,109.8,167,164,7.9,1007.3,770.1,3,15.52
148.2,106.2,159.9,172.3,9.7,1007.2,746.6,3,15.82
206.7,95.9,132.1,175.1,8.1,1005.8,746.6,14,33.09
455.3,112.9,118.6,179.9,3.6,1007.3,746.8,14,34.24
202.9,110.6,128.6,175.5,7.8,1006.3,746.6,14,31.81
215.8,107.5,172.4,156.8,4.1,1006.3,856.4,14,29.75
383.6,124.4,173.5,164.8,6.5,1006.2,793.5,14,33.01
327.4,144.2,167,164,7.9,1007.3,770.1,14,32.9
350,130.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
512.2,125.6,132.1,175.1,8.1,1005.8,746.6,28,46.39
536.5,121.7,118.6,179.9,3.6,1007.3,746.8,28,39.16
372.6,102.3,128.6,175.5,7.8,1006.3,746.6,28,41.2
420.4,149.4,172.4,156.8,4.1,1006.3,856.4,28,33.69
400.1,96.5,173.5,164.8,6.5,1006.2,793.5,28,38.2
334.4,124.1,167,164,7.9,1007.3,770.1,28,41.41
367.3,148.9,159.9,172.3,9.7,1007.2,746.6,28,37.81
489.4,110.8,132.1,175.1,8.1,1005.8,746.6,56,53.72
583.4,138.2,118.6,179.9,3.6,1007.3,746.8,56,48.59
681.2,125.6,128.6,175.5,7.8,1006.3,746.6,56,51.72
340.4,88.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
503.7,155.3,173.5,164.8,6.5,1006.2,793.5,56,53.77
526.9,165.9,167,164,7.9,1007.3,770.1,56,53.46
424.5,122.8,159.9,172.3,9.7,1007.2,746.6,56,48.99
657.8,187.7,132.1,175.1,8.1,1005.8,746.6,100,55.02
712.2,97,118.6,179.9,3.6,1007.3,746.8,100,49.99
748.7,137.5,128.6,175.5,7.8,1006.3,746.6,100,53.66
351.8,108.1,172.4,156.8,4.1,1006.3,856.4,100,37.68
699.5,143.7,173.5,164.8,6.5,1006.2,793.5,100,56.06
586.5,142.4,167,164,7.9,1007.3,770.1,100,56.81
697.8,161.1,159.9,172.3,9.7,1007.2,746.6,100,50.94
418.7,89.1,125.2,166.6,9.9,1079,798.9,100,33.56
509.1,116.9,95.7,191.8,5.3,948.9,857.2,100,41.16
739.2,152.9,174.2,159.2,11.7,1043.6,771.9,100,52.96
428.5,167.9,100.5,170.2,7.5,998,901.8,100,44.28
454.1,142.9,118.3,192.9,5.8,1043.6,754.3,100,40.15
534.6,161.7,79,162,11.6,967,712,28,57.03
471.5,130.1,79,162,11.6,967,712,28,44.42
466,131.1,79,162,11.6,967,712,28,51.02
662.8,153.7,79,162,10.3,967,712,28,53.39
429.6,93.6,79,162,11.6,967,712,3,35.36
151,103,79,162,11.6,967,712,3,25.02
114.3,133.2,79,162,11.6,967,712,3,23.35
657.6,148.3,79,162,11.6,967,712,7,52.01
383.8,128.7,79,162,11.6,967,712,7,38.02
401.4,98,79,162,11.6,967,712,7,39.3
822.8,125.8,79,162,11.6,967,712,56,61.07
769.1,100.5,79,162,11.6,967,712,56,56.14
784.3,128,79,162,11.6,967,712,56,55.25
709.1,135.2,79,162,10.3,967,712,56,54.77
647.1,173.5,94,157,14.3,938,845,28,50.24
475.1,121.9,94,157,13.9,938,845,28,46.68
625.8,131.2,94,157,11.6,938,845,28,46.68
311.7,73.2,94,157,14.3,938,845,3,22.75
376.9,119.9,94,157,13.9,938,845,3,25.51
243.4,82.8,94,157,11.6,938,845,3,34.77
408.7,101.7,94,157,14.3,938,845,7,36.84
532.9,158.3,94,157,13.9,938,845,7,45.9
313.3,105.3,94,157,11.6,938,845,7,41.67
425,150.9,94,157,14.3,938,845,56,56.34
425,95.6,94,157,13.9,938,845,56,47.97
375,148,94,157,11.6,938,845,56,61.46
475,137.3,97,145,13.1,967,871,28,44.03
469,126.6,97,145,12.3,967,871,28,55.45
425,165.7,123,210,3.9,882,699,28,55.55
388.6,181.1,123,201,3.9,822,699,28,57.92
531.3,113.3,123,210,3.9,882,699,3,25.61
425,105.3,123,210,3.9,882,699,7,33.49
318.8,178.6,123,210,3.9,882,699,56,59.59
401.8,116.9,123,201,3.9,822,699,3,29.55
362.6,153.9,123,201,3.9,822,699,7,37.92
379.5,126.5,123,201,3.9,822,699,56,61.86
362.6,171,132,178,8.5,822,750,28,62.05
286.3,147.3,132,178,8.5,882,750,3,32.01
362.6,151.7,132,168,8.9,822,750,28,72.1
439,141.4,132,178,8.5,822,750,7,39
389.9,147.6,132,178,8.5,822,750,56,65.7
362.6,98.9,132,168,8.9,822,750,3,32.11
337.9,87.3,132,168,8.9,822,750,7,40.29
222.4,199.8,132,168,8.9,822,750,56,74.36
81.7,109.7,141,206,1.7,942,801,28,21.97
25.3,82.1,141,206,1.7,942,801,3,9.85
192.7,55.5,141,206,1.7,942,801,7,15.07
263.6,91.6,141,206,1.7,942,801,56,23.25
407.3,146.4,141,179,5.5,842,801,28,43.73
169.8,87.2,141,179,5.5,842,801,3,13.4
97.7,69,141,179,5.5,842,801,7,24.13
555.1,137.9,141,179,5.5,842,801,56,44.52
629.3,196.1,141,154,10.9,942,801,28,62.94
815,156.6,141,154,10.9,942,801,28,59.49
330.4,107.7,141,154,10.9,942,801,3,25.12
296.4,141.6,141,154,10.9,942,801,3,23.64
284.3,92.6,141,154,10.9,942,801,7,35.75
515.2,119.3,141,154,10.9,942,801,7,38.61
708.9,205.4,141,154,10.9,942,801,56,68.75
846.3,136.3,141,154,10.9,942,801,56,66.78
167.1,48.2,134,181,11,979,812,28,13.2
540.2,108,0,174,12,1069,675,28,37.43
162.6,103.5,133,192,8,814,805,28,29.87
734.4,132,0,195,8,811,802,28,56.61
61.1,85.6,143,193,9,1047,697,28,12.46
339.5,89.1,0,193,9,877,868,28,23.79
17.7,102.5,166,180,10,961,805,28,13.29
471.5,86.3,87,178,10,910,745,28,39.42
496.3,88.7,113,179,8,869,690,28,46.23
582.5,129.9,0,127,8,1000,822,28,44.52
297.8,109.2,0,182,3,986,817,28,23.74
344.5,102.7,106,178,7,941,774,28,26.14
157.8,54.1,182,181,15,839,884,28,15.52
377.7,161.7,91,191,7,946,666,28,43.57
299.4,106,107,164,13,953,784,28,35.86
343.2,91,0,178,8,1002,689,28,41.05
301.2,58.9,143,194,9,880,699,28,28.99
455.4,152.4,0,195,6,924,760,28,46.24
341.3,125,0,171,2,1000,828,28,26.92
-47.5,105.6,179,202,8,824,869,28,10.54
193.1,96.4,0,178,8,1000,822,28,25.1
247.5,151.9,126,172,10,923,764,28,29.07
23.8,72.8,143,193,9,877,868,28,9.74
353.4,143.2,77,189,6,919,749,28,33.8
326.6,98.6,172,216,10,822,638,28,39.84
383.1,116.8,98,199,6,847,783,28,26.97
318.3,131.7,128,197,8,961,641,28,27.23
228,123.6,164,202,10,820,680,28,30.65
247.3,79.5,152,200,9,819,704,28,33.05
254.5,110.7,194,192,8,935,623,28,24.58
163.2,59.1,193,196,6,965,643,28,21.91
409.3,90.9,161,201,7,848,669,28,30.88
237.5,72.8,195,176,6,1021,709,28,15.34
237.5,72.5,185,228,7,845,612,28,24.34
149.2,107.9,195,185,7,898,636,28,23.89
300.4,71.7,190,213,6,923,623,28,22.93
252.2,84.8,187,221,7,854,614,28,29.41
405.9,136.2,71.5,246.9,6,852.9,695.4,28,28.63
257.6,95.3,113,178.5,8,1001.9,688.7,28,36.8
113.5,72.4,0,193.3,9.1,1047.4,696.7,28,18.29
434.5,121.4,0,202.5,3.4,827,871.8,28,32.72
334.5,159.3,106.7,221.4,10.5,819.2,778.4,28,31.42
163.5,134.2,0,195.7,3.1,949.4,795.3,28,28.94
296,118.6,0,178.5,8,867.2,824,28,40.93
296,82.5,111.9,184.4,7.9,992,815.9,28,12.18
296,139.9,113,178.5,8,1001.9,688.7,28,25.56
331,142.2,103.3,200.3,7.4,916,753.4,28,36.44
331,120.9,0,175.8,12.6,846.8,892.7,28,32.96
331,129.7,119.8,211.5,9.9,878.2,727.6,28,23.84
331,72.9,113,178.5,8,867.2,824,28,26.23
349,134.1,136.6,158.1,16.1,1001.8,830.1,28,17.96
349,110.2,137.9,199,10.8,801.1,792.5,28,38.63
349,90,0,178.1,8,999.7,822.2,28,19.01
349,118.7,86.1,195.4,5,895.2,732.6,28,33.72
349,48.7,194.9,219.7,11,897.7,712.9,28,8.54
302,68.7,185.3,166.7,15.6,1074.5,678,28,13.46
302,85.9,89.6,198.7,10.6,931.3,762.2,28,32.25
525,97,91.7,182.9,7.1,953.4,780.3,28,23.52
500,89.6,142.7,190.7,8.4,967.4,643.5,28,29.73
500,161.9,78.4,170.6,10.4,935.7,762.9,28,49.77
500,151.4,0,177.6,9.6,916.6,759.5,28,52.45
540,128.8,0,168.3,7.2,970.4,794.2,28,40.93
252,118.4,0,181.9,3.4,985.8,816.8,28,44.87
252,108.3,133.6,180.8,11.1,979.5,811.5,28,13.2
339,123.6,0,173.8,11.9,1069.3,674.8,28,37.43
393,106.9,132.6,191.6,8.5,814.1,805.3,28,29.87
393,191.2,0,194.9,8.1,811,802.3,28,56.62
393,105.7,142.8,193.3,9.1,1047.4,696.7,28,12.46
382,96.4,0,193.3,9.1,877.2,867.7,28,23.79
382,63.2,165.7,180.2,10,961,804.9,28,13.29
252,141.5,87.5,177.9,10.4,909.7,744.5,28,39.42
578.6,86.7,113.2,178.9,8,869.1,690.2,28,46.23
472.9,108.4,0,127.3,8,999.7,822.2,28,44.52
256.8,62.7,0,181.9,3.4,985.8,816.8,28,23.74
125.3,46.5,106.2,178.1,7.5,941.5,774.3,28,26.15
157.9,75.6,182.1,181.4,15,838.9,884.3,28,15.53
514.8,133.1,91,190.6,7,946.5,665.6,28,43.58
422.8,138.4,107.5,163.6,12.8,953.2,784,28,35.87
452.8,77.8,0,178.5,8,1001.9,688.7,28,41.05
383.4,92.4,143.2,193.8,9.2,879.6,698.5,28,28.99
578.7,128.7,0,194.9,5.5,924.1,760.1,28,46.25
163.3,106.5,0,171.2,2.2,1000,828.5,28,26.92
-33.8,92.5,178.9,201.7,7.8,824,868.7,28,10.54
343.9,117.6,0,178.1,8,999.7,822.2,28,25.1
302.4,93.6,125.8,171.6,10.4,922.6,764.4,28,29.07
92.3,64.5,142.8,193.3,9.1,877.2,867.7,28,9.74
339.7,126.1,77,188.6,6.5,919,749.3,28,33.8
468.1,125.6,81.8,209.7,9,904,679.7,28,37.17
325.5,120.9,148.1,178.8,18.8,838.1,741.4,28,33.76
130.2,109.2,112.3,220.1,10.1,923.2,657.9,28,16.5
54.6,56.8,89.3,201.9,8.8,860,829.5,28,19.99
361,68,138.7,167.5,18.3,944,694.6,28,36.35
468.7,147.8,111.2,167.8,22.1,913.9,651.2,28,38.22
115.4,121,174.9,158.4,17.9,942.7,844.5,28,15.42
348.2,97.6,0,213.5,6.2,895.5,722.5,28,33.42
302.1,137.2,0,190.2,6.7,1013.2,730.4,28,39.06
406.6,123.3,116,175.1,15,953.3,719.7,28,27.68
316.8,57.8,99.6,196,9.8,959.4,705.2,28,30.12
213.3,33,183.9,166.6,11.6,991.2,772.2,28,15.57
597.4,140.5,129.7,173.5,10.9,882.6,785.3,28,44.61
719.5,116.8,106.9,201.3,6,878.4,655.3,28,53.52
715.3,171.3,0,190.5,4.6,870,774,28,57.22
724.8,144,0,191.3,6.6,824.3,756.9,28,65.91
655.2,100.2,100.4,172.4,9.5,825.1,804.9,28,52.83
484.9,86.7,75.6,193.8,8.3,835.5,821.4,28,33.4
247,61.4,150.4,181.6,11.7,1023.3,728.9,28,18.03
320,101.8,0,180.3,10.7,1022,697.7,28,37.36
483.8,93.1,146.4,203.2,11.3,828.7,709.7,28,35.31
502,104.4,107,186.4,6.1,879,815.2,28,42.64
384.4,139.5,126.5,209.7,5.7,860.5,736.6,28,40.06
394.5,120.6,93.9,187.6,9.2,904.4,695.9,28,43.8
688.2,185.9,0,174,8.9,881.6,790,28,61.24
491.4,110.4,141.6,193.3,11,801.4,778.4,28,40.87
319.3,145.7,160.9,178.9,5.5,866.9,735.6,28,33.31
485.3,163.9,0,185.8,8.5,951,709.5,28,52.43
165.6,124.6,200.1,181.2,12.6,849.3,846,28,15.09
376.2,137,112.6,169.9,10.1,925.3,782.9,28,38.46
263.9,121,127.9,182.5,11.5,870.1,779.7,28,37.27
304.5,108.4,127.7,236.7,5.8,868.6,655.6,28,35.23
591,112.5,0,177.4,7,907.9,829.5,28,42.14
217.5,79.2,107,209.7,11.1,879.6,744.2,28,31.88
459.5,123.2,86.5,195.5,5.9,832.6,790.4,28,41.54
335,115.1,0,168.4,12.2,1049.3,688.2,28,39.46
533.1,117.1,0,183.2,12.7,858.8,826.8,28,37.92
510.7,122.1,90.3,179.6,8.9,870.1,768.3,28,44.28
235.3,129.3,115.6,196,10.4,817.9,813.4,28,31.18
297.2,88.3,108.6,192.7,6.1,892.4,780,28,23.7
435.2,138.1,0,175.6,11.3,989.6,788.9,28,32.77
443.9,86.9,78.3,200.6,8.6,864.5,761.5,28,32.4
